FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1019,KILLINJ,F,2021,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,F,2022,1,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,F,2023,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,M,2020,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,M,2021,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,M,2022,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,KILLINJ,M,2023,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,ROADACC,9,2020,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,ROADACC,9,2021,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,ROADACC,9,2022,1,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1019,ROADACC,9,2023,0,201.0,1019.0,Balme,110.0,62.7105,2020.0,both
A,1020,KILLINJ,F,2020,0,201.0,1020.0,Banchette,3112.0,2.0289,2020.0,both
A,1020,KILLINJ,F,2021,5,201.0,1020.0,Banchette,3112.0,2.0289,2020.0,both
A,1020,KILLINJ,F,2022,3,201.0,1020.0,Banchette,3112.0,2.0289,2020.0,both
