ID_COMUNE,COMUNE,OBS_VALUE,RESIDENTI,SUPERFICIE (KMQ),DENSITA_POPOLAZIONE,DENSITA_INCIDENTI,INCIDENTI_PRO_CAPITE(1000)
1088,Coassolo Torinese,4,1449,27.8788,51.97497740218374,0.1434781984877398,2.7605244996549345
1089,Coazze,10,3171,56.5727,56.0517705536416,0.1767637040480656,3.15357931251971
1090,Collegno,623,48747,18.0993,2693.308580994845,34.42122071019321,12.780273657866124
1091,Colleretto Castelnuovo,0,312,6.3321,49.272753115080306,0.0,0.0
1092,Colleretto Giacosa,6,591,4.5894,128.7750032684011,1.3073604392731075,10.15228426395939
1093,Condove,28,4427,71.1131,62.25294636290641,0.3937389876126902,6.324824937881184
1094,Corio,15,3082,41.4914,74.28045329875589,0.36152070067532066,4.866969500324465
1095,Cossano Canavese,1,443,3.2384,136.79594861660078,0.30879446640316205,2.257336343115124
1096,Cuceglio,4,937,6.8709,136.37223653378743,0.5821653640716645,4.268943436499467
1097,Cumiana,34,7787,60.7335,128.2158940288309,0.5598228325388789,4.366251444715552
1098,Cuorgnè,29,9413,19.3134,487.38181780525434,1.5015481479180257,3.0808456390098797
1099,Druento,53,8822,27.5395,320.33987545162404,1.9245084333412008,6.007708002720472
1100,Exilles,14,244,46.5474,5.241968402101943,0.3007686788091279,57.37704918032787
1101,Favria,13,5122,14.8499,344.91814759695353,0.8754267705506434,2.5380710659898473
1102,Feletto,13,2178,7.8931,275.9372109817436,1.6470081463556778,5.968778696051423
1103,Fenestrelle,7,483,49.4091,9.77552718021579,0.14167430695964914,14.492753623188406
1104,Fiano,19,2640,12.0415,219.24178881368601,1.5778765104015282,7.196969696969697
1105,Fiorano Canavese,4,751,4.3457,172.81450629357755,0.9204501000989485,5.326231691078562
1106,Foglizzo,29,2255,15.6427,144.1566992910431,1.8538999021907983,12.860310421286032
1107,Forno Canavese,10,3271,16.5003,198.23881990024424,0.6060495869772065,3.0571690614490983
1108,Frassinetto,0,274,24.8185,11.040151499889195,0.0,0.0
1109,Front,23,1627,10.9482,148.60890374673463,2.100801958312782,14.136447449293177
1110,Frossasco,9,2841,20.1488,141.000952910347,0.446676725164774,3.1678986272439285
1111,Garzigliana,7,544,7.4018,73.49563619660083,0.9457159069415548,12.867647058823529
1112,Gassino Torinese,63,9389,20.5108,457.7588392456657,3.071552547925971,6.709979763553094
