ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1018,morti_e_feriti,feriti,2022,4,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,feriti,2023,2,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,feriti,2024,6,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,morti,2020,0,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,morti,2021,0,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,morti,2022,0,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,morti,2023,0,201,Baldissero Torinese,3671,15.4054
1018,morti_e_feriti,morti,2024,0,201,Baldissero Torinese,3671,15.4054
1018,incidenti_stradali,incidenti,2020,2,201,Baldissero Torinese,3671,15.4054
1018,incidenti_stradali,incidenti,2021,2,201,Baldissero Torinese,3671,15.4054
1018,incidenti_stradali,incidenti,2022,3,201,Baldissero Torinese,3671,15.4054
1018,incidenti_stradali,incidenti,2023,2,201,Baldissero Torinese,3671,15.4054
1018,incidenti_stradali,incidenti,2024,3,201,Baldissero Torinese,3671,15.4054
1019,morti_e_feriti,feriti,2020,0,201,Balme,110,62.7105
1019,morti_e_feriti,feriti,2021,0,201,Balme,110,62.7105
1019,morti_e_feriti,feriti,2022,1,201,Balme,110,62.7105
1019,morti_e_feriti,feriti,2023,0,201,Balme,110,62.7105
1019,morti_e_feriti,morti,2020,0,201,Balme,110,62.7105
1019,morti_e_feriti,morti,2021,0,201,Balme,110,62.7105
1019,morti_e_feriti,morti,2022,0,201,Balme,110,62.7105
1019,morti_e_feriti,morti,2023,0,201,Balme,110,62.7105
1019,incidenti_stradali,incidenti,2020,0,201,Balme,110,62.7105
1019,incidenti_stradali,incidenti,2021,0,201,Balme,110,62.7105
1019,incidenti_stradali,incidenti,2022,1,201,Balme,110,62.7105
1019,incidenti_stradali,incidenti,2023,0,201,Balme,110,62.7105
1020,morti_e_feriti,feriti,2020,0,201,Banchette,3112,2.0289
1020,morti_e_feriti,feriti,2021,5,201,Banchette,3112,2.0289
1020,morti_e_feriti,feriti,2022,3,201,Banchette,3112,2.0289
1020,morti_e_feriti,feriti,2023,6,201,Banchette,3112,2.0289
1020,morti_e_feriti,feriti,2024,1,201,Banchette,3112,2.0289
1020,morti_e_feriti,morti,2020,0,201,Banchette,3112,2.0289
1020,morti_e_feriti,morti,2021,1,201,Banchette,3112,2.0289
1020,morti_e_feriti,morti,2022,0,201,Banchette,3112,2.0289
1020,morti_e_feriti,morti,2023,0,201,Banchette,3112,2.0289
1020,morti_e_feriti,morti,2024,0,201,Banchette,3112,2.0289
1020,incidenti_stradali,incidenti,2020,0,201,Banchette,3112,2.0289
1020,incidenti_stradali,incidenti,2021,3,201,Banchette,3112,2.0289
1020,incidenti_stradali,incidenti,2022,3,201,Banchette,3112,2.0289
1020,incidenti_stradali,incidenti,2023,1,201,Banchette,3112,2.0289
1020,incidenti_stradali,incidenti,2024,1,201,Banchette,3112,2.0289
1021,morti_e_feriti,feriti,2020,0,201,Barbania,1585,12.8027
1021,morti_e_feriti,feriti,2021,1,201,Barbania,1585,12.8027
1021,morti_e_feriti,feriti,2022,1,201,Barbania,1585,12.8027
1021,morti_e_feriti,feriti,2023,2,201,Barbania,1585,12.8027
1021,morti_e_feriti,morti,2020,0,201,Barbania,1585,12.8027
1021,morti_e_feriti,morti,2021,0,201,Barbania,1585,12.8027
